full_name,first,last,title,company,website,domain,linkedin,twitter,batch,city,one_liner,tags
,,,,Devsquad,https://devsquad.com,devsquad.com,,,non-yc,,,"ai,discovered"
,,,,Huggingface,https://huggingface.co,huggingface.co,,,non-yc,,,"ai,discovered"
,,,,Gemini,https://gemini.google.com,gemini.google.com,,,non-yc,,,"ai,discovered"
,,,,Cloud,https://cloud.google.com,cloud.google.com,,,non-yc,,,"ai,discovered"
,,,,Nbc,https://nbc.com,nbc.com,,,non-yc,,,"ai,discovered"
,,,,X,https://x.ai,x.ai,,,non-yc,,,"ai,discovered"
,,,,Duck,https://duck.ai,duck.ai,,,non-yc,,,"ai,discovered"
,,,,Grok,https://grok.com,grok.com,,,non-yc,,,"ai,discovered"
,,,,Agenta,https://agenta.ai,agenta.ai,,,non-yc,,,"ai,discovered"
,,,,Alphaloops,https://alphaloops.ai,alphaloops.ai,,,non-yc,,,"ai,discovered"
,,,,Freeacademy,https://freeacademy.ai,freeacademy.ai,,,non-yc,,,"ai,discovered"
,,,,Alpha Grid,https://alpha-grid.ai,alpha-grid.ai,,,non-yc,,,"ai,discovered"
,,,,Alphaguard,https://alphaguard.ai,alphaguard.ai,,,non-yc,,,"ai,discovered"
,,,,Alphanova,https://alphanova.tech,alphanova.tech,,,non-yc,,,"ai,discovered"
,,,,Adrenalineinteractive,https://adrenalineinteractive.ai,adrenalineinteractive.ai,,,non-yc,,,"ai,discovered"
,,,,Aleahealth,https://aleahealth.co,aleahealth.co,,,non-yc,,,"ai,discovered"
,,,,Afterefx,https://afterefx.com,afterefx.com,,,non-yc,,,"ai,discovered"
,,,,Abodelabs,https://abodelabs.ai,abodelabs.ai,,,non-yc,,,"ai,discovered"
,,,,Agentio,https://agentio.com,agentio.com,,,non-yc,,,"ai,discovered"
,,,,Ai Fluence,https://ai-fluence.com,ai-fluence.com,,,non-yc,,,"ai,discovered"
,,,,Alertmend,https://alertmend.io,alertmend.io,,,non-yc,,,"ai,discovered"
,,,,Abivo,https://abivo.ai,abivo.ai,,,non-yc,,,"ai,discovered"
,,,,3Square,https://3square.ai,3square.ai,,,non-yc,,,"ai,discovered"
,,,,Adeu,https://adeu.ai,adeu.ai,,,non-yc,,,"ai,discovered"
,,,,913,https://913.ai,913.ai,,,non-yc,,,"ai,discovered"
,,,,Alcolase,https://alcolase.com,alcolase.com,,,non-yc,,,"ai,discovered"
,,,,Tryallspring,https://tryallspring.com,tryallspring.com,,,non-yc,,,"ai,discovered"
,,,,Affinitylabs,https://affinitylabs.ai,affinitylabs.ai,,,non-yc,,,"ai,discovered"
,,,,Getalchemystai,https://getalchemystai.com,getalchemystai.com,,,non-yc,,,"ai,discovered"
,,,,Aivotlabs,https://aivotlabs.ai,aivotlabs.ai,,,non-yc,,,"ai,discovered"
,,,,Airballoon,https://airballoon.app,airballoon.app,,,non-yc,,,"ai,discovered"
,,,,Veltrix AI,https://veltrix.com,veltrix.com,,,non-yc,,,"ai,discovered"
,,,,Airshelf,https://airshelf.ai,airshelf.ai,,,non-yc,,,"ai,discovered"
,,,,Cleo Atlas Legal API,https://legaldata-public.cleolabs.co,legaldata-public.cleolabs.co,,,non-yc,,,"ai,discovered"
,,,,Aevy,https://aevy.io,aevy.io,,,non-yc,,,"ai,discovered"
,,,,NVIDIA Nemotron 3 Ultra,https://build.nvidia.com,build.nvidia.com,,,non-yc,,,"ai,discovered"
,,,,Orbits,https://heyorbits.com,heyorbits.com,,,non-yc,,,"ai,discovered"
,,,,Grand Tours,https://grandtours.app,grandtours.app,,,non-yc,,,"ai,discovered"
,,,,Soma,https://useinvariance.com,useinvariance.com,,,non-yc,,,"ai,discovered"
,,,,Arena Agent Mode,https://arena.ai,arena.ai,,,non-yc,,,"ai,discovered"
,,,,Fastest Food Recognition & Nutrition API,https://caloai.dev,caloai.dev,,,non-yc,,,"ai,discovered"
,,,,Leni,https://leni.co,leni.co,,,non-yc,,,"ai,discovered"
,,,,PromptPin,https://promptpin.ai,promptpin.ai,,,non-yc,,,"ai,discovered"
,,,,Techexactly,https://techexactly.com,techexactly.com,,,non-yc,,,"ai,discovered"
