Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Citadel Law Firm PLLC,Estate / Probate,David Gerszewski,"Estate planning, wills, trusts, probate, trust administration","Chandler, AZ",480-565-8020,,clfusa.com,"1767 E Queen Creek Rd, Suite 1, Chandler, AZ 85286"
"Harowitz & Morrison, PLLC",Estate / Probate,David J. Harowitz,"Estate planning, probate, trust administration, elder law","Chandler, AZ",480-456-1144,,hmazlaw.com,"6909 W Ray Rd, Bldg 21, Chandler, AZ 85226"
LifePlan Legal AZ,Estate / Probate,Jake Carlson,"Estate planning, wills, trusts, probate, asset protection","Gilbert, AZ",602-932-3187,,lifeplanlegalaz.com,"1425 S Higley Rd, Suite 106, Gilbert, AZ 85296"
Compton Law P.C.,Estate / Probate,Ron Compton,"Estate planning, probate, trusts, special needs, elder law","Mesa, AZ",480-325-1122,clientcare@comptonlawaz.com,comptonlawaz.com,"1423 S Higley Rd, Suite 112, Mesa, AZ 85206"
"Morris Hall, PLLC",Estate / Probate,Dan R. Morris,"Estate planning, wills, trusts, probate, elder law","Phoenix, AZ",602-249-1328,,morrishall.com,"7250 N 16th St, Suite 201, Phoenix, AZ 85020"
Frazer Ryan Goldberg & Arnold LLP,Estate / Probate,James W. Ryan,"Trusts and estates, estate planning, tax, probate","Phoenix, AZ",602-277-2010,info@frgalaw.com,frgalaw.com,"1850 N Central Ave, Suite 1800, Phoenix, AZ 85004"
Andersen PLLC,Estate / Probate,Mark E. Andersen,"Estate planning, trusts and estates, probate, guardianship","Scottsdale, AZ",480-265-9165,,andersenpllc.com,"17015 N Scottsdale Rd, Suite 225, Scottsdale, AZ 85255"
Dana Whiting Law,Estate / Probate,Matt Dana,"Estate planning, probate, trust administration, asset protection","Scottsdale, AZ",480-515-3716,info@danawhitinglaw.com,danawhitinglaw.com,"8817 E Bell Rd, Suite 201, Scottsdale, AZ 85260"
"Seiter Law, PLLC",Estate / Probate,Marcus Seiter,"Estate planning, wills, trusts, probate","Tempe, AZ",480-345-3998,info@seiterlawpllc.com,seiterlawpllc.com,"960 W Elliot Rd, Suite 114, Tempe, AZ 85284"
"Fleming & Curti, PLC",Estate / Probate,Elizabeth N.R. Friman,"Estate planning, trust administration, guardianship, probate","Tucson, AZ",520-622-0400,,elder-law.com,"1745 E River Rd, Suite 101, Tucson, AZ 85718"
The Law Office of Eli J. Guiterman,Estate / Probate,Eli J. Guiterman,"Elder law, estate planning, probate litigation, guardianship","Tucson, AZ",520-999-5897,ejg@guiterman.com,guitermanlaw.com,"7400 N Oracle Rd, Suite 301, Tucson, AZ 85704"
"Duffield Adamson & Helenbolt, P.C.",Estate / Probate,Larry Adamson,"Estate planning, elder law, probate, trust administration","Tucson, AZ",520-577-1135,,duffieldlaw.com,"3430 E Sunrise Dr, Suite 200, Tucson, AZ 85718"
"Wilson-Goodman Law Group, PLLC",Divorce / Family,Angela M. Wilson-Goodman,"Divorce, child custody, support, family law","Gilbert, AZ",480-503-9217,,wgandf-law.com,"1760 E Pecos Rd, Suite 315, Gilbert, AZ 85295"
"Ellsworth Family Law, P.C.",Divorce / Family,Steven M. Ellsworth,"Divorce, custody, support, family law litigation","Mesa, AZ",480-635-8700,,ellsworthfamilylaw.com,"1630 S Stapley Dr, Suite 200, Mesa, AZ 85204"
Udall Shumway PLC,Divorce / Family,Steven H. Everts,"Divorce, custody, support, family law","Mesa, AZ",480-461-5300,,udallshumway.com,"1138 N Alma School Rd, Suite 101, Mesa, AZ 85201"
Modern Law,Divorce / Family,Billie Tarascio,"Divorce, custody, mediation, family law","Mesa, AZ",480-571-0346,,mymodernlaw.com,"4540 E Baseline Rd, Suite 105, Mesa, AZ 85206"
"Bishop, Del Vecchio & Beeks Law Office, P.C.",Divorce / Family,William D. Bishop,"Divorce, child custody, support, community property","Phoenix, AZ",602-878-3133,,bdblawfirm.com,"7210 N 16th St, Phoenix, AZ 85020"
Cantor Law Group,Divorce / Family,David Michael Cantor,"Divorce, custody, support, complex property division","Phoenix, AZ",602-254-8880,,cantorlawgroup.com,"40 N Central Ave, Suite 2310, Phoenix, AZ 85004"
"Owens & Perkins, Attorneys at Law",Divorce / Family,Michelle J. Perkins,"Divorce, custody, spousal maintenance, mediation","Scottsdale, AZ",480-994-8824,,oplaw.com,"7322 E Thomas Road, Scottsdale, AZ 85251"
Stewart Law Group,Divorce / Family,Scott David Stewart,"Divorce, child custody, property division, paternity","Scottsdale, AZ",480-425-1400,,arizonalawgroup.com,"14362 N Frank Lloyd Wright Blvd, Suite 2136, Scottsdale, AZ 85260"
"Hildebrand Law, PC",Divorce / Family,Chris Hildebrand,"Divorce, legal separation, custody, spousal maintenance","Tempe, AZ",480-305-8300,,hildebrandlaw.com,"1095 W Rio Salado Pkwy, Suite 206, Tempe, AZ 85281"
Belleau Family Law Group,Divorce / Family,Laura C. Belleau,"Divorce, custody, complex property, family law","Tucson, AZ",520-645-8500,,belleaufamilylawgroup.com,"3060 N Swan Road, Tucson, AZ 85712"
Pahl & Associates,Divorce / Family,Danette R. Pahl,"Divorce, custody, high-asset property division","Tucson, AZ",520-628-1111,,pahlfamilylaw.com,"6400 E Tanque Verde Road, Suite 150, Tucson, AZ 85715"
McNorton Fox PLLC,Divorce / Family,Lisa C. McNorton,"Divorce, child custody, support, family law","Tucson, AZ",520-415-2970,,mcnortonfoxlaw.com,"4400 E Broadway Blvd, Suite 602, Tucson, AZ 85711"
