Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Morgan & DiSalvo, P.C.",Estate / Probate,Richard M. Morgan,"Estate planning, wills, trusts & probate",Alpharetta,678-720-0750,info@morgandisalvo.com,https://morgandisalvo.com,"5755 North Point Pkwy, Ste 17, Alpharetta, GA 30022"
Walker Estate Planning,Estate / Probate,Kent Walker,"Wills, trusts & estate administration",Atlanta,404-422-2710,,https://walkerestateplanning.com,"6075 Barfield Road, Atlanta, GA 30328"
Meyring Law Firm,Estate / Probate,Robert S. Meyring,"Estate planning, probate & elder law",Atlanta,678-257-3332,,https://www.meyringlaw.com,"2931 Paces Ferry Road SE, Suite 201, Atlanta, GA 30339"
The Libby Law Firm,Estate / Probate,Kasey Libby,"Probate, estate administration & will contests",Atlanta,404-445-7771,,http://thelibbylawfirm.com,"1579 Monroe Drive NE, F-315, Atlanta, GA 30324"
"Aitkens & Aitkens, P.C.",Estate / Probate,Robert Aitkens,"Estate planning, wills & probate",Atlanta,770-952-4000,,https://www.aitkenslawfirm.com,"1827 Powers Ferry Road SE, Bldg 1, Suite 100, Atlanta, GA 30339"
Estate Attorneys of Atlanta,Estate / Probate,Althea DeBarr-Johnson,"Estate planning, probate & guardianship",Atlanta,404-584-5555,info@estateattorneys-atlanta.com,https://www.atlantaestateattorneys.com,"236 Auburn Ave NE, Suite 207, Atlanta, GA 30303"
Brian M. Douglas & Associates LLC,Estate / Probate,Brian M. Douglas,"Estate planning, wills, trusts & probate",Atlanta,770-933-9009,,https://www.atlantagaestateplanning.com,"900 Circle 75 Parkway SE, Suite 800, Atlanta, GA 30339"
The Law Office of Paul Black,Estate / Probate,Paul Black,"Estate planning, probate & elder law",Decatur,404-537-3857,info@georgia-estatelaw.com,https://georgia-estatelaw.com,"836 Sycamore St, Decatur, GA 30030"
"Turner Law, LLC",Estate / Probate,Robert Turner,"Probate, estate planning & elder law",Decatur,404-377-6941,,https://www.decaturestateplanning.com,"160 Clairemont Ave, Suite 450, Decatur, GA 30030"
Weyer Law LLC,Estate / Probate,Stephen Weyer,Estate planning & probate administration,Decatur,404-860-1313,,https://www.weyer-law.com,"520 W. Ponce de Leon Ave, Unit 1064, Decatur, GA 30031"
"Hughes & Associates, PC",Estate / Probate,Robby Hughes,"Probate, estate & dispute resolution",Lawrenceville,770-469-8887,,https://hughespclaw.com,"390 West Crogan Street, Suite 230, Lawrenceville, GA 30046"
Susan Floyd Law LLC,Estate / Probate,Susan Floyd,"Wills, trusts & probate",Roswell,404-939-4989,sf@susanfloydlaw.com,https://www.susanfloydlaw.com,"599 W. Crossville Road, Suite 111, Roswell, GA 30075"
"Hobson & Hobson, P.C.",Divorce / Family,Christopher F. Hobson,"Divorce, child custody & support",Alpharetta,770-284-6153,,https://thehobsonlawfirm.com,"44 Milton Ave, Suite H, Alpharetta, GA 30009"
"Vayman & Teitelbaum, P.C.",Divorce / Family,Gregory Teitelbaum,"Divorce, child custody & support",Alpharetta,678-736-7700,info@vandtlaw.com,https://www.vandtlaw.com,"3625 Brookside Parkway, Suite 130, Alpharetta, GA 30022"
Atlanta Divorce Law Group,Divorce / Family,Sara Khaki,"Divorce, custody & family law",Alpharetta,678-203-9893,,https://atlantadivorcelawgroup.com,"12735 Morris Rd Ext, Building 200, Suite 300, Alpharetta, GA 30004"
"Kessler & Solomiany, LLC",Divorce / Family,Randall Kessler,Divorce & family law,Atlanta,404-688-8810,mail@ksfamilylaw.com,https://www.ksfamilylaw.com,"101 Marietta Street NW, Suite 3500, Atlanta, GA 30303"
"Levine Smith Coburn & Koslin, LLC",Divorce / Family,Jonathan R. Levine,Divorce & domestic relations,Atlanta,404-237-5700,,https://www.lscklaw.com,"3490 Piedmont Road NE, Suite 1150, Atlanta, GA 30305"
Boyd Collar Nolen Tuggle & Roddenbery,Divorce / Family,Robert D. Boyd,"Divorce, custody & property division",Atlanta,770-953-4300,,https://www.bcntrlaw.com,"3330 Cumberland Blvd, 100 City View, Suite 999, Atlanta, GA 30339"
"Stern Edlin Graham Family Law, P.C.",Divorce / Family,Shiel G. Edlin,High-net-worth divorce & custody,Atlanta,404-256-0010,shiel@segfamilylaw.com,https://stern-edlin.com,"6190 Powers Ferry Road, Suite 100, Atlanta, GA 30339"
Tannen Law Group,Divorce / Family,David R. Tannen,"Divorce, child custody & asset division",Johns Creek,470-560-7798,info@tannenlawgroup.com,https://tannenlawgroup.com,"6455 E Johns Crossing, Suite 425, Johns Creek, GA 30097"
Stearns-Montgomery & Proctor,Divorce / Family,Mary A. Montgomery,Divorce & family law,Marietta,678-971-3413,info@stearns-law.com,https://stearns-law.com,"291 SE Alexander St, Marietta, GA 30060"
Atlanta Holistic Family Law,Divorce / Family,Jeanette Soltys,"Divorce, custody & mediation",Marietta,770-214-4767,team@atlholisticfamilylaw.com,https://atlholisticfamilylaw.com,"1229 Johnson Ferry Rd, Suite 203, Marietta, GA 30068"
Abbott Law Group,Divorce / Family,B. J. Abbott,"Divorce, custody & property division",Marietta,678-941-4133,,https://www.abbottandabbott.net,"31 Atlanta Street, Marietta, GA 30060"
