Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Steele & Steele LLC,Estate / Probate,Brent E. Steele,"Estate planning, wills & trusts, probate, real estate",Bedford,812-279-3513,,https://www.steeleandsteelelaw.com/,"1602 I St, Suite 1, Bedford, IN 47421"
"Clendening Johnson & Bohrer, P.C.",Estate / Probate,James F. Bohrer,"Probate and estate administration, board-certified trust & estate specialist",Bloomington,812-382-9001,,https://www.lawcjb.com/,"409 W. Patterson Drive, Suite 205, Bloomington, IN 47403"
Like Law Group LLC,Estate / Probate,Lance D. Like,"Estate planning, elder law, Medicaid planning, probate & trust administration",Bloomington,812-323-8300,,https://likelawgroup.com/,"1211 N. College Avenue, Bloomington, IN 47404"
Freitag & Martoglio,Estate / Probate,E. Paige Freitag,"Estate planning, probate & trust administration, elder law",Bloomington,812-676-6030,,https://www.bloominglaw.com/,"2907 E. Buick Cadillac Blvd., Bloomington, IN 47401"
Bunger & Robertson,Estate / Probate,Thomas Bunger,"Estate planning, elder law and probate",Bloomington,812-332-9295,br@lawbr.com,https://www.lawbr.com/,"211 South College Ave., Bloomington, IN 47404"
"Jewell, Crump, Angermeier & Prall",Estate / Probate,Jerry E. Prall,"Estate planning, wills, trusts and probate",Columbus,812-376-9752,,https://www.jcaplaw.com/,"1325 Washington St., Columbus, IN 47201"
Whitted Law LLC,Estate / Probate,Alan L. Whitted,"Wills, estate planning, probate, guardianship, elder law",Columbus,812-376-6676,kim@whittedlaw.com,https://www.whittedlaw.com/,"431 Washington St, Columbus, IN 47201"
"Beck Rocker, LLC",Estate / Probate,Jeff Rocker,"Estate planning, estate & trust administration, probate",Columbus,812-372-8858,,https://www.beckrocker.com/,"432 Washington St, Columbus, IN 47201"
"Scott Callahan, P.C.",Divorce / Family,J. Scott Callahan,Divorce and family law,Bedford,812-277-1950,,https://www.scottcallahanattorney.com/,"1310 16th Street, Bedford, IN 47421"
The McIntyre Law Office,Divorce / Family,Meredith L. McIntyre,"Divorce, child custody, paternity (certified family law specialist)",Bedford,812-275-3306,meredith@mcintyrelawoffice.com,https://mcintyrelawoffice.com/,"1522 I Street, East Side Square, Bedford, IN 47421"
McCrea & McCrea,Divorce / Family,Aaron McCrea,"Divorce, child custody, paternity, family law",Bloomington,812-650-4425,,https://www.mccrea-mccrea.com/,"Bloomington, IN 47401"
H. Michelle Gregory LLC,Divorce / Family,H. Michelle Gregory,"Divorce, custody, child support, paternity, family law mediation",Bloomington,812-322-0701,,https://hmichellegregoryllc.com/,"101 W. Kirkwood Ave. #006A, Bloomington, IN 47404"
"Carl Lamb and Associates, PC",Divorce / Family,Carl Lamb,"Divorce, child custody, family law",Bloomington,812-332-1420,carl@carllamblaw.com,https://attorneycarllamb.com/,"1101 West 2nd Street, Bloomington, IN 47403"
Mallor Grodner Plummer Attorneys,Divorce / Family,Andrew C. Mallor,"Divorce, child custody, collaborative law, high-asset divorce",Bloomington,812-332-5000,,https://lawmgp.com/,"511 S Woodscrest Drive, Bloomington, IN 47401"
Schulz Reagan LLC,Divorce / Family,Kara Reagan,"Family law, divorce, adoption",Bloomington,812-339-6055,info@schulzreagan.com,https://www.schulzreagan.com/,"1114 N. College Ave., Bloomington, IN 47404"
Slotegraaf Niehoff PC,Divorce / Family,Eric Slotegraaf,"Divorce, custody, collaborative & high-asset divorce",Bloomington,812-332-6000,,https://www.snlawoffice.com/,"200 East Third St., Bloomington, IN 47401"
"Thomasson, Guthrie, Schuh-Ogle & Happel, P.C.",Divorce / Family,Sean G. Thomasson,"Divorce, custody, child support, family law",Columbus,812-565-5041,,https://www.thomassonlaw.com/,"50 Washington Street, Suite 3A, Columbus, IN 47201"
