Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Mark Ignacio Law, APC",Estate / Probate,Mark Ignacio,"Estate planning, probate, trust administration","La Mesa, CA",619-810-4644,hello@ignaciolaw.com,ignaciolaw.com,"3835 Avocado Blvd., Suite 110, La Mesa, CA 91941"
"Keystone Law Group, P.C.",Estate / Probate,Shawn S. Kerendian,"Probate, trust administration, estate planning, litigation","Los Angeles, CA",310-444-9060,,keystone-law.com,"11300 West Olympic Blvd., Suite 910, Los Angeles, CA 90064"
"The Werner Law Firm, PC",Estate / Probate,L. Rob Werner,"Estate planning, living trusts, probate","Los Angeles, CA",213-318-4122,,wernerlawca.com,"10801 National Blvd, Suite 531, Los Angeles, CA 90064"
Hackard Law,Estate / Probate,Michael A. Hackard,"Trust and estate litigation, probate, elder abuse","Mather, CA",916-313-3030,info@hackardlaw.com,hackardlaw.com,"10640 Mather Boulevard, #100, Mather, CA 95655"
"The Goralka Law Firm, P.C.",Estate / Probate,John Goralka,"Estate planning, tax, probate, trust administration","Sacramento, CA",916-440-8036,,goralkalawfirm.com,"400 Capitol Mall, Suite 740, Sacramento, CA 95814"
"Yee Law Group, PC",Estate / Probate,Michael Yee,"Probate, estate planning, trusts, trust administration","Sacramento, CA",916-927-9001,,mylawyersllp.com,"4010 S. Land Park Dr., Suite B, Sacramento, CA 95822"
"San Diego Legacy Law, PC",Estate / Probate,Nicole D'Ambrogi,"Estate planning, probate, trust administration, asset protection","San Diego, CA",619-550-3080,,sdlegacylaw.com,"3517 Camino del Rio S., Suite 406, San Diego, CA 92108"
Weiner Law,Estate / Probate,Daniel R. Weiner,"Estate planning, probate, trust, Medi-Cal planning","San Diego, CA",858-333-8876,,weinerlawfirm.com,"402 W Broadway, Suite 400-B, San Diego, CA 92101"
"Harrington Law, P.C.",Estate / Probate,Amy Harrington,"Probate, trusts, estate planning","San Francisco, CA",415-558-7700,admin@amyharringtonlaw.com,amyharringtonlaw.com,"One Embarcadero Center, Suite 1200, San Francisco, CA 94111"
Cappelloni Law PC,Estate / Probate,Lauren R. Cappelloni,"Estate planning, probate, trust administration","San Francisco, CA",415-795-2910,info@cappellonilaw.com,cappellonilaw.com,"315 Montgomery Street, Suite 960, San Francisco, CA 94104"
"Temmerman, Cilley, Kohlmann & Norcia, LLP",Estate / Probate,"Robert E. Temmerman, Jr.","Estate planning, trusts, probate administration, litigation","San Jose, CA",408-780-1912,,tcklawfirm.com,"2502 Stevens Creek Boulevard, San Jose, CA 95128"
The Hayes Law Firm,Estate / Probate,William K. Hayes,"Estate planning, probate, trust administration, elder law","South Pasadena, CA",626-403-2292,,losangelestrustlaw.com,"729 Mission St., #300, South Pasadena, CA 91030"
Provinziano & Associates,Divorce / Family,Alphonse F. Provinziano,"Divorce, custody, high-net-worth property division","Beverly Hills, CA",310-820-3500,,provinziano.com,"8888 Olympic Blvd, Suite 100, Beverly Hills, CA 90211"
Skarin Law Group,Divorce / Family,Matthew K. Skarin,"Divorce, custody, complex property and support","El Segundo, CA",310-256-2700,,skarinlaw.com,"360 N Pacific Coast Highway, Suite 1000, El Segundo, CA 90245"
Law Offices of Korol & Velen,Divorce / Family,Rozanna M. Velen,"Divorce, custody, property division, support","Encino, CA",818-962-4669,,korolandvelen.com,"15760 Ventura Boulevard, Suite 1550, Encino, CA 91436"
Law Offices of Cameron M. Fernandez,Divorce / Family,Cameron M. Fernandez,"Divorce, custody, support, property division","Sacramento, CA",916-288-9099,,cmffamilylaw.com,"7801 Folsom Blvd, Suite 107, Sacramento, CA 95826"
"Rojas and Nickelson Family Law, Inc.",Divorce / Family,Tara M. Rojas,"Divorce, complex property division, financial issues","Sacramento, CA",916-515-7020,,rojasnickelson.com,"601 University Ave, Suite 240, Sacramento, CA 95825"
Hemmer and Barr LLP,Divorce / Family,Jennifer Hemmer,"Divorce, custody, complex support and property","Sacramento, CA",916-922-8500,,hemmerbarrlaw.com,"555 University Ave, Suite 125, Sacramento, CA 95825"
"San Diego Divorce Lawyers, APC",Divorce / Family,Puja A. Sachdev,"Divorce, custody, mediation, support","San Diego, CA",619-866-3756,,sachdevfamilylaw.com,"2851 Camino del Rio S, Suite 430, San Diego, CA 92108"
"Moore, Schulman & Moore, APC",Divorce / Family,Erik S. Moore,"Divorce, custody, complex property division","San Diego, CA",858-492-7968,,msmfamilylaw.com,"12220 El Camino Real, Suite 300, San Diego, CA 92130"
"Doppelt and Forney, APLC",Divorce / Family,Roy M. Doppelt,"Divorce, custody, support, property division","San Diego, CA",858-312-8500,,sandiegodivorcelawyerhelp.com,"16466 Bernardo Center Dr, Suite 260, San Diego, CA 92128"
"Schoenberg Family Law Group, P.C.",Divorce / Family,Debra R. Schoenberg,"Divorce, custody, complex high-asset property division","San Francisco, CA",415-834-1120,,sflg.com,"50 California St, 21st Floor, San Francisco, CA 94111"
Van Voorhis & Sosna LLP,Divorce / Family,Sarah Van Voorhis,Divorce and child custody litigation,"San Francisco, CA",415-539-0422,,vsfamlaw.com,"601 Montgomery St, Suite 540, San Francisco, CA 94111"
"Lerner Poole & Stewart, LLP",Divorce / Family,Stacey Poole,"Divorce, support, complex property division","San Francisco, CA",415-391-6000,,cafamilylaw.com,"303 Sacramento St, 4th Floor, San Francisco, CA 94111"
