Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Stewart Law, P.A.",Estate / Probate,Todd A. Stewart,"Estate planning, wills, trusts & probate",Charlotte,704-552-5160,info@tstewartlaw.com,https://tstewartlaw.com/,"909 East Boulevard, Charlotte, NC 28203"
"Orsbon & Fenninger, LLP",Estate / Probate,R. Anthony Orsbon,"Estate planning, probate & trusts",Charlotte,704-556-9600,,https://www.orsbonandfenninger.com/,"4201 Congress St., Suite 110, Charlotte, NC 28209"
"Essex Richards, P.A.",Estate / Probate,Jon Windham,Estate planning & estate administration,Charlotte,704-377-4300,,https://www.essexrichards.com/,"1701 South Boulevard, Charlotte, NC 28203"
"James E. Hickmon, PLLC",Estate / Probate,James E. Hickmon,"Estate planning, probate & fiduciary law",Charlotte,704-248-6325,,https://charlotteestatelawyer.com/,"5605 Carnegie Blvd, Ste 420, Charlotte, NC 28209"
Simpson Law Firm,Estate / Probate,Holly Simpson,"Wills, trusts, probate & elder law",Charlotte,980-999-2820,info@simpsonestatelaw.com,https://simpsonestatelaw.com/,"17250 Lancaster Hwy., Suite 601, Charlotte, NC 28277"
Hands Law,Estate / Probate,David W. Hands,"Estate planning, wills, trusts & probate",Charlotte,704-459-7410,,https://www.handslawonline.com/,"5457 Monroe Road, Charlotte, NC 28212"
"Conrad Trosch & Kemmy, P.A.",Estate / Probate,"Louis A. Trosch, Sr.",Estate planning & elder law,Charlotte,704-553-8221,,https://ctklawyers.com/,"301 S. McDowell Street, Suite 1001, Charlotte, NC 28204"
"Johnston, Allison & Hord, P.A.",Estate / Probate,Holly B. Norvell,"Trusts & estates, estate planning",Charlotte,704-332-1181,hnorvell@jahlaw.com,https://www.jahlaw.com/,"1065 East Morehead Street, Charlotte, NC 28204"
"Nosal & Jeter, LLP",Estate / Probate,Peter J. Nosal,Probate & trust administration,Cornelius,704-608-3429,info@nosaljeterlaw.com,https://www.nosaljeterlaw.com/,"18525 Statesville Rd, Ste D-02, Cornelius, NC 28031"
Legacy Law Firm,Estate / Probate,Alyssa E. Kisby-Meadows,Estate planning & trust administration,Gastonia,980-485-4507,info@legacylawfirmnc.com,https://www.legacylawfirmnc.com/,"121 W. Main Ave., #201, Gastonia, NC 28052"
The Law Offices of Morris W. Keeter,Estate / Probate,Morris W. Keeter,"Wills, trusts, probate & elder law",Gastonia,704-810-2425,,https://www.keeterlaw.com/,"309 South Street, Gastonia, NC 28052"
Lake Norman Wealth Counsel,Estate / Probate,Andrew F. Sabourin,"Wills, trusts & estate planning",Huntersville,704-727-2026,,https://www.lknwealthcounsel.com/,"11330 Vanstory Dr., Huntersville, NC 28078"
"Epperson Law Group, PLLC",Divorce / Family,James L. Epperson,Divorce & family law,Charlotte,704-321-0031,,https://www.epplaw.com/,"10851 Sikes Place, Charlotte, NC 28277"
"Rech Law, P.C.",Divorce / Family,Kate Rech,"Divorce, custody & family law",Charlotte,704-659-0007,,https://www.rechlaw.com/,"1819 Charlotte Drive, Suite 100, Charlotte, NC 28203"
"Miller Cushing Holladay, PLLC",Divorce / Family,Brett Holladay,"Divorce, custody, alimony & family law",Charlotte,980-321-5590,,https://www.mchpllc.com/,"508 East Blvd., Charlotte, NC 28203"
"Jetton & Meredith, PLLC",Divorce / Family,"Mark S. Jetton, Jr.",Divorce & family law,Charlotte,704-931-5535,,https://www.jettonmeredithlaw.com/,"817 E Trade Street, Charlotte, NC 28202"
Collins Family & Elder Law Group,Divorce / Family,Shawna Collins,"Divorce, custody & family law",Charlotte,704-289-3250,,https://www.collinsfamilylaw.com/,"228 East Blvd., Charlotte, NC 28203"
"Blood Law, PLLC",Divorce / Family,Anna Blood,"Divorce, custody & family law",Charlotte,704-286-0570,,https://www.blood-law.com/,"1120 East Blvd., Suite 150, Charlotte, NC 28203"
Cordell & Cordell,Divorce / Family,Morgan L. Rich,Divorce & family law,Charlotte,704-668-0000,,https://cordellcordell.com/,"6701 Carmel Road, Suite 110, Charlotte, NC 28226"
"Arnold & Smith, PLLC",Divorce / Family,Matthew R. Arnold,Divorce & family law,Charlotte,704-370-2828,,https://www.arnoldsmithlaw.com/,"200 N McDowell St, Charlotte, NC 28204"
Southpark Family Law,Divorce / Family,Molly Anthony,"Divorce, custody & family law",Charlotte,704-684-4504,,https://www.southparkfamilylaw.com/,"5821 Fairview Road, Suite 308, Charlotte, NC 28209"
Lake Norman Law Firm,Divorce / Family,Adam Gray Breeding,Divorce & family law,Cornelius,704-765-1617,Amy@lknlawfirm.com,https://lknlawfirm.com/,"21235 Catawba Avenue, Cornelius, NC 28031"
Easterling Family Law,Divorce / Family,Lindsey Easterling,"Divorce, custody & family law",Matthews,980-272-1365,Tandi@easterlingfamilylaw.com,https://easterlingfamilylaw.com/,"2514 Plantation Center Drive, Matthews, NC 28105"
Daly Mills Family Law,Divorce / Family,Judith M. Daly,"Divorce, custody & family law",Mooresville,704-878-2365,,https://dalymills.com/,"131 Plantation Ridge Drive, Suite 400, Mooresville, NC 28117"
