Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Colorado Estate Planning Law Center,Estate / Probate,Karen L. Brady,"Estate planning, probate, trust settlement","Arvada, CO",303-420-2863,,coloradoestateplanning.com,"6870 W 52nd Avenue, Suite 103, Arvada, CO 80002"
"Folkestad Fazekas Barrick & Patoile, P.C.",Estate / Probate,James B. Folkestad,"Estate planning, wills, trusts, probate administration","Castle Rock, CO",303-688-3045,,ffcolorado.com,"18 South Wilcox Street, Suite 200, Castle Rock, CO 80104"
Hammond Law Group PC,Estate / Probate,Catherine Hammond,"Estate planning, living trusts, Medicaid, probate","Colorado Springs, CO",719-520-1474,,coloradoestateplan.com,"2955 Professional Place, Suite 300, Colorado Springs, CO 80904"
"Schroer & Williams Law Offices, PLLC",Estate / Probate,Ronald J. Williams,"Estate planning, probate, elder law","Colorado Springs, CO",719-473-4355,,schroerlaw.com,"7045 Campus Drive, Suite 103, Colorado Springs, CO 80920"
"Justin Fish Legal, P.C.",Estate / Probate,Justin Fish,"Estate planning, wills, trusts, probate, Medicaid","Colorado Springs, CO",719-493-9003,Justin@justinfishlegal.com,justinfishlegal.com,"13540 Northgate Estates Drive, Suite 100, Colorado Springs, CO 80921"
"Louie V. Larimer, Attorney at Law",Estate / Probate,Louie V. Larimer,"Estate planning, wills, trusts, probate","Colorado Springs, CO",719-440-6410,,csestateplanning.com,"620 Southpointe Court, Suite 175, Colorado Springs, CO 80906"
The Law Office of Kevin R. Hancock LLC,Estate / Probate,Kevin R. Hancock,"Estate planning, wills, trusts, probate administration","Colorado Springs, CO",719-575-9690,,cotrustattorney.com,"13570 Meadowgrass Drive, Suite 120, Colorado Springs, CO 80921"
"Gordon J. Williams, P.C.",Estate / Probate,Gordon J. Williams,"Estate planning, probate, trust administration, elder law","Colorado Springs, CO",719-471-9300,,gordonjwilliams.com,"405 South Cascade Avenue, Suite 304, Colorado Springs, CO 80903"
"The Hughes Law Firm, P.C.",Estate / Probate,Richard Hughes,"Estate planning, probate, elder law","Denver, CO",303-758-0680,,thehugheslawfirm.net,"3801 East Florida Avenue, Suite 640, Denver, CO 80210"
Glatstein & O'Brien LLP,Estate / Probate,M. Carl Glatstein,"Probate, estate administration, elder law","Denver, CO",303-731-3986,,denverprobatelaw.com,"2696 South Colorado Boulevard, Suite 350, Denver, CO 80222"
"Solem Woodward & McKinley, P.C.",Estate / Probate,Eric Solem,"Estate planning, probate, elder law, Medicaid","Englewood, CO",303-761-4900,,solemlaw.com,"750 W. Hampden Avenue, Suite 505, Englewood, CO 80110"
"Meurer & Potter, P.C.",Estate / Probate,Michael T. Meurer,"Estate planning, probate, elder law, Medicaid","Greenwood Village, CO",303-991-3544,,meurerlawoffices.com,"5347 South Valentia Way, Suite 335, Greenwood Village, CO 80111"
Rocky Mountain Legal Group,Divorce / Family,M. Patricia Marrison,"Divorce, custody, marital property, support","Colorado Springs, CO",719-822-0154,reception@rockymountainlegalgroup.com,rockymountainlegalgroup.com,"2985 Broadmoor Valley Rd, Colorado Springs, CO 80906"
Graham.Law,Divorce / Family,Carl O. Graham,"Divorce, military divorce, custody, support","Colorado Springs, CO",719-630-1123,admin@graham.law,www.graham.law,"2 N Cascade Ave, Suite 1100, Colorado Springs, CO 80903"
Janko Family Law Solutions,Divorce / Family,Sabra M. Janko,"Divorce, military family law, custody, support","Colorado Springs, CO",719-344-5523,,jankolaw.com,"2 N Cascade Ave, Suite 1330, Colorado Springs, CO 80903"
"Moran, Allen & Associates Family Law",Divorce / Family,Michael T. Allen,"Divorce, custody, support, prenuptial agreements","Colorado Springs, CO",719-447-0762,mike@familylawcosprings.com,familylawcosprings.com,"220 E Costilla St, Colorado Springs, CO 80903"
"Law Office of Greg Quimby, P.C.",Divorce / Family,Greg Quimby,"Divorce, custody, support, property division","Colorado Springs, CO",719-212-4227,,gregquimby.com,"415 S Cascade Avenue, Colorado Springs, CO 80903"
Travis Law Group PLLC,Divorce / Family,Rich Travis,"Divorce, military divorce, custody, support","Colorado Springs, CO",719-520-5011,,travislawgroup.com,"121 E Vermijo Ave, Colorado Springs, CO 80903"
"Goldman Law, LLC",Divorce / Family,Scott D. Goldman,"Divorce, child custody, support, property division","Denver, CO",303-656-9529,,goldmanlaw303.com,"1873 S Bellaire St, Suite 1105, Denver, CO 80222"
Modern Family Law,Divorce / Family,Nicholas Tootalian,"Divorce, custody, support, family law","Denver, CO",720-699-9255,,modernfamilylaw.com,"4500 E Cherry Creek S Dr, Suite 700, Denver, CO 80246"
"Epstein Patierno, LLP",Divorce / Family,David Littman,"Divorce, custody, complex family law","Denver, CO",303-893-3111,info@epfamilylawattorneys.com,epfamilylawattorneys.com,"730 17th Street, Suite 230, Denver, CO 80202"
Colorado Legal Group,Divorce / Family,David Crum,"Divorce, custody, support, property division","Denver, CO",720-594-7360,info@coloradolegalgroup.com,coloradolegalgroup.com,"1777 S Harrison St, Suite 1050, Denver, CO 80210"
"Plog & Stein, P.C.",Divorce / Family,Stephen J. Plog,"Divorce, custody, support, maintenance","Greenwood Village, CO",303-781-0322,,plogsteinlaw.com,"6021 S Syracuse Way, Suite 202, Greenwood Village, CO 80111"
Divorce Matters,Divorce / Family,Douglas A. Thomas,"Divorce, child custody, child support","Greenwood Village, CO",720-542-6142,info@divorce-matters.com,divorce-matters.com,"8390 E Crescent Parkway, Suite 230, Greenwood Village, CO 80111"
