Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Baxter, Borowicz & Brunckhorst Co., LPA",Estate / Probate,Louis M. Borowicz,"Estate planning, probate, trusts, elder law","Columbus, OH",614-431-8110,,baxterandborowicz.com,"2875 W. Dublin Granville Road, Columbus, OH 43235"
Pappas Gibson LLC,Estate / Probate,Matthew Gibson,"Estate planning, probate and trust administration","Columbus, OH",614-792-7900,,pappasgibson.com,"5003 Horizons Drive, Unit 110, Columbus, OH 43220"
Rathburn & Associates,Estate / Probate,Dennis A. Rathburn,"Estate planning, probate, wills and trusts","Columbus, OH",614-497-9918,vicki@rathburnassociates.com,rathburnassociates.com,"3163 S High St, Columbus, OH 43207"
"Kincaid, Randall & Craine",Estate / Probate,Kevin A. Craine,"Estate planning, probate, guardianship, elder law","Columbus, OH",614-224-7193,,krc-law.com,"2201 Riverside Drive, Columbus, OH 43221"
Elliott Feldman Law Group,Estate / Probate,Elliott Feldman,"Estate planning, trusts, wills for families","Dublin, OH",614-636-6300,,efeldmanlaw.com,"7155 Corazon Dr., Suite 11, Dublin, OH 43016"
"Joel K. Elkin, Attorney at Law",Estate / Probate,Joel K. Elkin,"Probate, estate planning, real estate","Gahanna, OH",614-414-6053,,joelelkinlaw.com,"157 West Johnstown Road, Gahanna, OH 43230"
"Epling Law Office, LLC",Estate / Probate,Aaron Epling,"Wills, trusts, estate planning and probate","Hilliard, OH",614-876-7888,,eplinglawoffice.com,"3962 Brown Park Drive, Suite G, Hilliard, OH 43026"
The Sheraw Law Firm LLC,Estate / Probate,Brett Sheraw,"Estate planning, real estate, business law","Pickerington, OH",614-519-2429,,sherawlaw.com,"1209 Hill Road North, Suite 118, Pickerington, OH 43147"
Hilton Parker LLC,Estate / Probate,Jonathan Hilton,"Wills, trusts, estate planning and litigation","Reynoldsburg, OH",614-992-2277,jhilton@hiltonparker.com,hiltonparker.com,"7658 Slate Ridge Blvd, Reynoldsburg, OH 43068"
"Willi Law Office, LLC",Estate / Probate,Kaye P. Willi,"Estate planning, trust and probate (board-certified)","Westerville, OH",614-890-0500,,willilaw.com,"635 Park Meadow Rd, Suite 204, Westerville, OH 43081"
Reese Law Firm,Estate / Probate,Steve Reese,"Estate planning and probate, real estate","Westerville, OH",614-321-2422,steve@reese.legal,reese.legal,"670 Meridian Way, Suite 139, Westerville, OH 43082"
R.F. Meyer & Associates LLC,Estate / Probate,Richard F. Meyer,"Elder law, probate, customized estate planning","Worthington, OH",614-407-7900,info@elderlaw.us,elderlaw.us,"450 W. Wilson Bridge Rd., Suite 380, Worthington, OH 43085"
Grossman Law Offices,Divorce / Family,Andrew S. Grossman,"High-asset divorce, custody, support, prenups","Columbus, OH",614-344-4311,,grossmanlawoffices.com,"32 W Hoster St, Suite 100, Columbus, OH 43215"
"Petroff Law Offices, LLC",Divorce / Family,Ronald R. Petroff,"Divorce, custody, support, domestic relations","Columbus, OH",614-222-4288,,mcnairpetroff.com,"140 E Town St, Suite 1070, Columbus, OH 43215"
"Nina P. Scopetti, Attorney at Law",Divorce / Family,Nina P. Scopetti,"Divorce, dissolution, custody, property division","Columbus, OH",614-664-6409,,scopettilaw.com,"155 West Main Street, Suite 100, Columbus, OH 43215"
"Kemp Law Group, LLC",Divorce / Family,Jacqueline L. Kemp,"Divorce, custody, support, marital property","Dublin, OH",614-389-1991,,kemplawgroup.com,"555 Metro Place North, Suite 300, Dublin, OH 43017"
"Law Office of Lisa K. Meier, LLC",Divorce / Family,Lisa K. Meier,"Divorce, custody, family law, estate planning","Dublin, OH",614-683-5789,,lisakmeierlaw.com,"4248 Tuller Rd, Suite 110, Dublin, OH 43017"
"Richard L. Morris Co., L.P.A.",Divorce / Family,Richard L. Morris,"Divorce, dissolution, custody, child support","Gahanna, OH",614-656-4252,,richmorris-law.com,"457 Waterbury Court, Suite A, Gahanna, OH 43230"
Jeffrey E. Buskirk & Associates,Divorce / Family,Jeffrey E. Buskirk,"Divorce, family law, wills and estates","Grove City, OH",614-875-7220,,jeffbuskirklaw.com,"4178 Broadway, Grove City, OH 43123"
Dailey Law Offices,Divorce / Family,Stephanie N. Dailey,"Divorce, dissolution, custody, family law","Hilliard, OH",614-524-4048,,sdaileylaw.com,"3974-D Brown Park Drive, Hilliard, OH 43026"
"David W. Poston, Attorney at Law",Divorce / Family,David W. Poston,"Divorce, dissolution, custody, child support","Pickerington, OH",614-837-8800,dwp@postonlaw.net,poston-law.net,"155 East Columbus St, Suite 160, Pickerington, OH 43147"
"Tamms Law Office, LLC",Divorce / Family,Chris Tamms,"Divorce and family law, certified specialist","Westerville, OH",614-859-9529,chris@tammslaw.com,tammslaw.com,"670 Meridian Way, Suite 120, Westerville, OH 43082"
"Treneff Cozza Law, LLC",Divorce / Family,Craig P. Treneff,"Divorce, custody, mediation, family law","Westerville, OH",614-891-4230,,treneff.com,"155 Commerce Park Drive, Suite 5, Westerville, OH 43082"
Delligatti Law,Divorce / Family,Michael J. Delligatti,"Divorce, custody, property division, mediation","Worthington, OH",614-398-4159,,delligattilaw.com,"400 West Wilson Bridge Rd, Suite 260, Worthington, OH 43085"
