Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Zoecklein Law, P.A.",Estate / Probate,Brice Zoecklein,"Wills, trusts, estates, probate litigation","Brandon, FL",813-501-5071,,zoeckleinlawpa.com,"150 E Bloomingdale Ave, Brandon, FL 33511"
Perlin Estate Planning & Probate,Estate / Probate,Brian C. Perlin,"Estate planning, probate, trust administration, elder law","Coral Gables, FL",305-443-3104,info@perlinestateplanning.com,perlinestateplanning.com,"201 Alhambra Circle, Suite 503, Coral Gables, FL 33134"
The Estate Plan,Estate / Probate,Matthew A. Gruber,"Estate planning, estate and trust administration, probate","Coral Gables, FL",305-677-8489,,theestateplanfl.com,"135 San Lorenzo Ave, Suite 750, Coral Gables, FL 33146"
"Ginsberg Shulman, PL",Estate / Probate,Jill Ginsberg,"Estate planning, probate, guardianship, elder law","Fort Lauderdale, FL",954-839-8705,,ginsbergshulman.com,"300 SE 2nd St, Suite 600, Fort Lauderdale, FL 33301"
"Law Office of Miller & Miller, P.A.",Estate / Probate,Trey Miller III,"Estate planning, probate, trust administration, real estate","Fort Lauderdale, FL",954-981-9301,,ftlauderdaleestatelawyers.com,"3101 N Federal Hwy, Suite 606, Fort Lauderdale, FL 33306"
"Berg Bryant Elder Law Group, PLLC",Estate / Probate,Kellen Bryant,"Elder law, estate planning, wills, trusts, Medicaid","Jacksonville, FL",904-398-6100,,bbelderlaw.com,"7545 Centurion Parkway, Suite 108, Jacksonville, FL 32256"
Law Office of David M. Goldman PLLC,Estate / Probate,David M. Goldman,"Estate planning, probate, elder law, asset protection","Jacksonville, FL",904-685-1200,,jacksonvillelawyer.pro,"4115 Hendricks Ave, Jacksonville, FL 32207"
Three Oaks Law,Estate / Probate,Sabrina Bateh Kuruvilla,"Estate planning, probate, trust administration","Jacksonville, FL",904-397-4444,admin@threeoakslaw.com,threeoakslaw.com,"13500 Sutton Park Dr S, Suite 601, Jacksonville, FL 32224"
Chepenik Trushin LLP,Estate / Probate,Bart H. Chepenik,"Estate planning, probate, trust and guardianship litigation","North Miami, FL",305-981-8889,info@ctllp.com,miamifloridaestateplanninglawyer.com,"12550 Biscayne Blvd, Suite 805, North Miami, FL 33181"
Jackson Law PA,Estate / Probate,Kristen M. Jackson,"Estate planning, probate, trust administration","Orlando, FL",407-477-5046,,jacksonlawpa.com,"5401 South Kirkman Road, Suite 310, Orlando, FL 32819"
SJF Law Group,Estate / Probate,Samantha J. Fitzgerald,"Estate planning, probate, trust administration","Plantation, FL",954-580-3690,info@estateandprobatelawyer.com,estateandprobatelawyer.com,"300 South Pine Island Road, Suite 109, Plantation, FL 33324"
BaumannKangas Estate Law,Estate / Probate,Phillip A. Baumann,"Wills, trusts, estates, probate administration","Tampa, FL",813-223-2202,,www.estatelawflorida.com,"201 E Kennedy Blvd, Suite 830, Tampa, FL 33602"
"Law Office of Elaine McGinnis, P.A.",Estate / Probate,Elaine McGinnis,"Wills, trusts, probate, guardianship administration","Tampa, FL",813-639-7658,elaine@estatelawtampa.com,estatelawtampa.com,"2202 N Westshore Blvd, Suite 200, Tampa, FL 33607"
"Gierach and Gierach, P.A.",Estate / Probate,John R. Gierach,"Estate planning, probate, estate administration, litigation","Winter Park, FL",407-598-8013,,gierachlaw.com,"1201 S Orlando Avenue, Suite 460, Winter Park, FL 32789"
"Mark E. Sawicki, P.A.",Divorce / Family,Mark E. Sawicki,"Divorce, custody, support, paternity, modifications","Fort Lauderdale, FL",954-458-0005,,sawickilaw.com,"200 S Andrews Avenue, Suite 100, Fort Lauderdale, FL 33301"
"Scott A. Levine, P.A.",Divorce / Family,Scott A. Levine,"Divorce, custody, alimony, equitable distribution","Fort Lauderdale, FL",954-587-2244,,levinefamilylaw.com,"500 East Broward Boulevard, Suite 900, Fort Lauderdale, FL 33394"
"ZAGERLAW, P.A.",Divorce / Family,Joseph Zager,"Divorce, custody, support, alimony, mediation","Fort Lauderdale, FL",954-888-8170,,zagerlaw.com,"533 NE 3rd Ave, Suite R-1, Fort Lauderdale, FL 33301"
"Datz & Datz, P.A.",Divorce / Family,Lawrence Datz,"Divorce, high-asset, custody, alimony, support","Jacksonville, FL",904-296-7440,,datzlaw.net,"6817 Southpoint Parkway, Suite 1504, Jacksonville, FL 32216"
"Charles E. Willmott, P.A.",Divorce / Family,Charles E. Willmott,"Divorce, custody, support, alimony, mediation","Jacksonville, FL",904-849-5183,,jaxdivorce.com,"425 North Liberty Street, Jacksonville, FL 32202"
Sasso Guerrero & Henderlite,Divorce / Family,Molly Sasso,"Divorce, custody, paternity, adoption","Jacksonville, FL",904-619-1386,,familylawyerjax.com,"9191 R.G. Skinner Parkway, Suite 703, Jacksonville, FL 32256"
Foster-Morales PLLC,Divorce / Family,Dori Foster-Morales,"Divorce, equitable distribution, alimony, child support","Miami, FL",305-577-0090,,fostermorales.com,"150 West Flagler Street, Penthouse II, Miami, FL 33130"
"Filler Rodriguez, LLP",Divorce / Family,Catherine Rodriguez,"Divorce, high-asset, custody, timesharing, paternity","Miami, FL",305-876-3376,crodriguez@fillerrodriguez.com,familylawmiami.com,"2 S Biscayne Boulevard, Suite 1590, Miami, FL 33131"
"Conti Moore Law Divorce Lawyers, PLLC",Divorce / Family,Conti Moore,"Divorce, custody, timesharing, support, relocation","Orlando, FL",407-831-0203,,contimoorelaw.com,"815 North Magnolia Avenue, Suite 100, Orlando, FL 32803"
Frank Family Law Practice,Divorce / Family,Jennifer C. Frank,"Divorce, custody, support, alimony, mediation","Orlando, FL",407-629-2208,staff@frankfamilylaw.com,frankfamilylaw.com,"1305 Radcyffe Rd, Orlando, FL 32804"
"Sean Smallwood, P.A.",Divorce / Family,Sean Smallwood,"Divorce, custody, paternity, spousal support","Orlando, FL",407-574-6155,,affordablefamilylawyer.com,"390 N Orange Ave, Suite 2300, Orlando, FL 32801"
"Leinoff & Lemos, P.A.",Divorce / Family,Andrew M. Leinoff,"Divorce, custody, alimony, equitable distribution","South Miami, FL",305-222-7442,,llpa.com,"7301 SW 57th Court, Suite 545, South Miami, FL 33143"
Givens Law Group,Divorce / Family,Stann W. Givens,"Divorce, custody, support, high-net-worth, paternity","Tampa, FL",813-328-6159,,tampafamilylaw.com,"1001 South MacDill Ave, Suite 200, Tampa, FL 33629"
"Harris, Hunt & Derr, P.A.",Divorce / Family,Nancy Hutcheson Harris,"Divorce, custody, support, equitable distribution","Tampa, FL",813-223-5421,,harrishuntderr.com,"100 South Ashley Drive, Suite 300, Tampa, FL 33602"
"Quinn & Lynch, P.A.",Divorce / Family,Mary Elizabeth Quinn,"Divorce, custody, timesharing, support, paternity","Tampa, FL",813-223-7739,,tampadivorcelaw.com,"412 E Madison St, Suite 812, Tampa, FL 33602"
