Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
H.G. Myers Law,Estate / Probate,Heather L. George Myers,"Estate planning, wills, trusts, probate","Greenwood, IN",317-643-5496,,hgmyerslaw.com,"107 N State Rd 135, Suite 204, Greenwood, IN 46142"
Walterman Legal,Estate / Probate,Joseph B. Walterman,"Estate planning, family law, civil matters","Greenwood, IN",317-953-2281,,waltermanlegal.com,"200 S Madison Ave, Greenwood, IN 46142"
Hocker & Associates LLC,Estate / Probate,Janet Davis Hocker,"Real estate, estate planning, probate","Greenwood, IN",317-215-5045,,hockerlawfirm.com,"3209 Smith Valley Rd, Suite 233, Greenwood, IN 46142"
"Vick Law, P.C.",Estate / Probate,Thomas A. Vick,"Probate, estate administration, wills and trusts","Greenwood, IN",317-593-9853,support@vicklaw.org,vicklaw.org,"3209 W Smith Valley Rd, Suite 113, Greenwood, IN 46142"
Henn Haworth Cummings + Page,Estate / Probate,David M. Henn,"Estate planning, probate, real estate","Greenwood, IN",317-885-0041,info@hhcplaw.com,hhcplaw.com,"1634 W Smith Valley Rd, Suite B, Greenwood, IN 46142"
"Van Valer Law Firm, LLP",Estate / Probate,Tom Vander Luitgaren,"Real estate, probate, estate planning","Greenwood, IN",317-881-7575,info@vanvalerlaw.com,vanvalerlaw.com,"225 S Emerson Ave, Suite 181, Greenwood, IN 46143"
Law Office of Emily Greeson,Estate / Probate,Emily Greeson,"Estate planning, elder law, probate","Greenwood, IN",317-385-3126,emilygreeson.law@gmail.com,emilygreesonelderlaw.com,"432 S Emerson Ave, Suite 330, Greenwood, IN 46143"
Law Office of Melissa Winkler-York,Estate / Probate,Melissa Winkler-York,"Elder law, wills, estate planning","Indianapolis, IN",317-781-1080,info@winkleryorklaw.com,winkleryorklaw.com,"4259 Shelby St, Indianapolis, IN 46227"
"Frank & Kraft, Attorneys at Law",Estate / Probate,Paul Kraft,"Estate planning, probate, trust administration","Indianapolis, IN",317-684-1100,paul@frankkraft.com,frankkraft.com,"135 N Pennsylvania St, Suite 1100, Indianapolis, IN 46204"
Marc Matheny Law,Estate / Probate,Marc W. Matheny,"Probate, estate administration, wills and trusts","Indianapolis, IN",317-639-3315,info@marcmathenylaw.com,marcmathenylaw.com,"244 N College Ave, Indianapolis, IN 46202"
"Harshman Ponist Smith & Rayl, LLC",Estate / Probate,Aaron J. Harshman,"Estate planning, probate, civil litigation","Indianapolis, IN",317-964-6000,,hpindiana.law,"3650 N Washington Blvd, Indianapolis, IN 46205"
Robert W. York & Associates,Estate / Probate,Robert W. York,"Estate planning, probate, probate litigation","Indianapolis, IN",317-842-8000,,york-law.com,"7212 N Shadeland Ave, Suite 150, Indianapolis, IN 46250"
"Barnes Cadwell Law, P.A.",Estate / Probate,Martin Barnes,"Estate planning, probate, asset protection","Indianapolis, IN",317-804-5058,,barnescadwell.com,"10475 Crosspoint Blvd, Suite 250, Indianapolis, IN 46256"
Adler Law LLC,Estate / Probate,Michael J. Adler,"Estate planning, wills, trusts","Indianapolis, IN",317-635-7880,,adlerlawonline.com,"727 E 86th St, Indianapolis, IN 46240"
Indy Advocate (McNevin & McInnes),Estate / Probate,Rob McNevin,"Real estate, probate, wills and trusts","Indianapolis, IN",317-939-3000,,indyadvocate.com,"5224 S East St, Suite C14, Indianapolis, IN 46227"
"Allen Wellman Harvey Keyes Cooley, LLP",Estate / Probate,Eric N. Allen,"Estate planning, probate, real estate","Greenfield, IN",317-468-2355,,awmlaw.com,"Five Courthouse Plaza, Greenfield, IN 46140"
Holwager & Holwager,Estate / Probate,Bill Holwager,"Elder law, estate planning, probate","Beech Grove, IN",317-787-8395,intake@hhelderlaw.com,hhelderlaw.com,"1818 Main St, Beech Grove, IN 46107"
Howe Law,Divorce / Family,Martin N. Howe,"Family law, divorce, probate","Greenwood, IN",317-644-2557,,howefamilylaw.com,"386 Meridian Parke Lane, Suite A, Greenwood, IN 46142"
The Renner Law Office,Divorce / Family,Stephanie Renner,"Divorce, family law, prenuptial agreements","Indianapolis, IN",317-771-8535,Stephanie@TheRennerLawOffice.com,therennerlawoffice.com,"1512 N Delaware St, Indianapolis, IN 46202"
Lopez Law Office,Divorce / Family,Vanessa Lopez,"Divorce, custody, child support","Indianapolis, IN",317-634-9484,,vanessalopezlaw.com,"3502 N Meridian St, Indianapolis, IN 46208"
"Stange Law Firm, PC",Divorce / Family,Kirk Stange,"Divorce, property division, estate planning","Indianapolis, IN",463-258-5401,,stangelawfirm.com,"3905 Vincennes Rd, Suite 103, Indianapolis, IN 46268"
"Eskew Law, LLC",Divorce / Family,Christopher Eskew,"Family law, divorce, criminal defense","Indianapolis, IN",317-974-0177,,eskewlaw.com,"255 N Alabama St, 3rd Floor, Indianapolis, IN 46204"
Keffer Hirschauer LLP,Divorce / Family,Bradley Keffer,"Family law, divorce, expungement","Indianapolis, IN",317-857-0160,help@indyjustice.com,indyjustice.com,"230 E Ohio St, Suite 400, Indianapolis, IN 46204"
"Villarrubia & Rosenberger, PC",Divorce / Family,Tabitha Villarrubia,"Family law, divorce, custody","Indianapolis, IN",463-207-9900,,vrlegal.com,"6349 S East St, Indianapolis, IN 46227"
Doyle Family Law LLC,Divorce / Family,Eric K. Doyle,"Divorce, child custody, support","Indianapolis, IN",317-505-0971,,doylefamilylawyers.com,"1300 E 86th St, #36A, Indianapolis, IN 46240"
Cordell & Cordell,Divorce / Family,Robert Haywood,"Divorce, custody, marital property division","Indianapolis, IN",317-322-0122,,cordellcordell.com,"101 W Ohio St, Suite 1250, Indianapolis, IN 46204"
Emerson Divorce Attorneys,Divorce / Family,JR Emerson,"Divorce, custody, high-asset property division","Carmel, IN",317-969-8000,,emersonlawllc.com,"1 S Rangeline Rd, Suite 400, Carmel, IN 46032"
"Coots, Henke & Wheeler",Divorce / Family,Daniel E. Coots,"Family law, probate, estate planning","Carmel, IN",317-708-4819,,chwlaw.com,"255 E Carmel Dr, Carmel, IN 46032"
"Cross Glazier Reed Burroughs, PC",Divorce / Family,Nancy L. Cross,"Divorce, custody, marital property division","Carmel, IN",317-582-2053,,cgblawfirm.com,"11595 N Meridian St, Suite 110, Carmel, IN 46032"
Connell Michael LLP,Divorce / Family,,"Divorce, custody, family law","Carmel, IN",317-434-1061,,connellmichaellaw.com,"550 Congressional Blvd, Suite 350-11, Carmel, IN 46032"
