Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Cook Tillman Law Group,Estate / Probate,Russ Cook,"Estate planning, probate & trust administration",Brentwood,615-370-2444,info@cooktillmanlaw.com,https://www.cooktillmanlaw.com,"5141 Virginia Way, Suite 220, Brentwood, TN 37027"
"Judy A. Oxford, Attorney at Law",Estate / Probate,Judy A. Oxford,Probate & estate administration,Brentwood,615-791-8511,judy@judyoxfordlaw.com,https://www.judyoxfordlaw.com,"1616 Westgate Circle, Suite 215, Brentwood, TN 37027"
"Hazard Law, PLLC",Estate / Probate,Rob Hazard,"Estate planning, probate & business law",Brentwood,615-208-4532,,https://hazard.law,"103 Powell Court, Suite 110, Brentwood, TN 37027"
Linville Estate Law,Estate / Probate,Trent Linville,"Estate planning, probate & trust administration",Franklin,615-567-3874,hello@linvillelegal.com,https://www.linvillelegal.com,"830 Crescent Centre Drive, Suite 320, Franklin, TN 37067"
Knight Legal,Estate / Probate,Ryan Knight,"Estate planning, probate & business law",Franklin,615-716-2063,ryan@knightlegaltn.com,https://www.knightlegaltn.com,"751 Cool Springs Blvd, Ste. 106, Franklin, TN 37067"
Law Offices of Adrian H. Altshuler & Associates,Estate / Probate,Adrian H. Altshuler,"Estate planning, wills & probate",Franklin,615-977-9370,,https://www.altshulerlaw.com,"219 3rd Ave N, Franklin, TN 37064"
Emmack Probate and Estate Law Group,Estate / Probate,Shanone Emmack,"Wills, trusts, probate & estate litigation",Franklin,615-920-0906,,https://www.emmacklaw.com,"219 Third Avenue North, Franklin, TN 37064"
Mason & Associates Law Firm,Estate / Probate,Jake Mason,"Estate planning, elder law & probate",Gallatin,615-989-7054,info@planyourlegacy.com,https://www.planyourlegacy.com,"880 Greenlea Blvd, Suite B, Gallatin, TN 37066"
"Garner Law Firm, PLLC",Estate / Probate,Patti B. Garner,"Estate planning, wills & trusts",Hendersonville,615-502-4336,,https://pattibgarner.com,"145 Maple Row Blvd, Hendersonville, TN 37075"
"Crow Estate Planning & Probate, PLC",Estate / Probate,John W. Crow,"Estate planning, wills, trusts & probate",Nashville,615-558-8002,,https://www.johnwcrow.com,"1503 16th Ave S, Nashville, TN 37212"
The Higgins Firm PLLC,Estate / Probate,Jim Higgins,Estate planning & probate,Nashville,615-353-0930,,https://www.higginsestategroup.com,"200 Hart St, Nashville, TN 37210"
"Frank Steiner Law, PC",Estate / Probate,Frank Steiner,Probate & probate litigation,Nashville,615-730-6090,,https://www.franksteinerlaw.com,"2200 21st Avenue South, Suite 309, Nashville, TN 37212"
"Digby Family Law, PLC",Divorce / Family,Sarah Digby,"Divorce, child custody & adoption",Brentwood,615-997-3741,,https://www.digbyfamilylaw.com,"5123 Virginia Way, Suite C-22, Brentwood, TN 37027"
"Widrig Law, PLLC",Divorce / Family,James L. Widrig,"Divorce, custody & child support",Brentwood,615-417-7800,,https://www.widriglaw.com,"101 Westpark Dr #260, Brentwood, TN 37027"
"Fort, Holloway & Saylor, LLC",Divorce / Family,Michael Fort,Divorce & family law,Franklin,615-791-7575,,https://www.franklintndivorce.com,"517 Cummins St., Franklin, TN 37064"
Middle Tennessee Family Law,Divorce / Family,Tiffany Johns,Divorce & family law,Franklin,615-614-8798,,https://www.middletennesseefamilylaw.com,"128 Holiday Ct, Ste 112, Franklin, TN 37067"
MC Davis Law,Divorce / Family,MC Davis,"Divorce, custody & property division",Franklin,615-235-5620,,https://www.williamsondivorce.com,"2000 Meridian Boulevard, Suite 200, Franklin, TN 37067"
"Kane & Crowell, PLLC",Divorce / Family,Angel Kane,Divorce & family law,Lebanon,615-784-4800,,https://www.kane-law.com,"133 S. College St., Lebanon, TN 37087"
Boss Law,Divorce / Family,Abigail L. Burnham,"Divorce, child custody & support",Murfreesboro,615-890-1548,,https://www.bosslawtn.com,"1423 Kensington Square Court, Murfreesboro, TN 37130"
McCarter | East PLLC,Divorce / Family,"Gilbert W. McCarter, II","Divorce, custody & child support",Murfreesboro,615-570-3047,,https://www.mcelaw.com,"316 W Main St, Murfreesboro, TN 37130"
The Law Office of Laurie Y. Young,Divorce / Family,Laurie Y. Young,"Divorce, custody & child support",Murfreesboro,615-890-3656,,https://murfreesborofamilylaw.com,"119 N Maple St., Murfreesboro, TN 37130"
"Miller Upshaw Family Law, PLLC",Divorce / Family,Karla C. Miller,Divorce & family law,Nashville,615-391-4200,,https://www.nashvillefamilylaw.com,"631 Woodland Street, Nashville, TN 37206"
Stratton Family Law,Divorce / Family,Bryan Stratton,"Divorce, child custody & alimony",Nashville,615-252-5791,,https://strattonlawtn.com,"3102 West End Avenue, Suite 400, Nashville, TN 37203"
The Cassell Firm,Divorce / Family,J. Caleb Cassell,Divorce & family law,Nashville,615-475-7041,info@thecassellfirm.com,https://www.thecassellfirm.com,"2000 Glen Echo Rd #113, Nashville, TN 37215"
