Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Gilliam Law Firm PLLC,Estate / Probate,"J. Duane Gilliam, Jr.","Elder law, estate planning, probate administration","Fayetteville, NC",910-485-8899,,gilliamlawfirm.com,"307 Person Street, Fayetteville, NC 28301"
Tally & Tally,Estate / Probate,William Lockett Tally,"Estate planning, probate, estate administration","Fayetteville, NC",910-483-4175,lockett@tallyandtally.com,tallyandtally.com,"2573 Ravenhill Drive, Fayetteville, NC 28303"
"O'Grady Law, PLLC",Estate / Probate,Laura O'Grady,"Estate planning, probate, real estate","Fayetteville, NC",910-500-3380,info@ogradylawpllc.com,theogradylawfirm.com,"717 Hay Street, Suite B, Fayetteville, NC 28301"
"Mewborn & DeSelms, Attorneys at Law",Estate / Probate,Christopher L. Mewborn,"Wills, trusts, estate planning, probate","Jacksonville, NC",910-225-4179,,mewbornlaw.biz,"829 Gum Branch Rd, Ste. C, Jacksonville, NC 28540"
The Cotton Law Firm,Estate / Probate,Nichole Cotton,"Estate planning, wills, probate (by appointment)","Lumberton, NC",910-339-1880,admin@cottonlawnc.com,cottonlawfirm.com,"101 N Court Square, Lumberton, NC 28358"
"David E. Anderson, PLLC",Estate / Probate,David E. Anderson,"Estate planning, probate, trust administration","Wilmington, NC",910-509-7287,,davidandersonpllc.com,"9111 Market St, Suite A, Wilmington, NC 28411"
"Johnson Legal, PLLC",Estate / Probate,Shane Johnson,"Estate planning, trusts, probate, administration","Wilmington, NC",910-319-7373,,johnsonlegal.us,"123 N Cardinal Extension Dr, Ste 100, Wilmington, NC 28405"
"Cason Crummie Law Firm, PLLC",Estate / Probate,Ryan G. Cason Crummie,"Estate planning, probate, wills and trusts","Wilmington, NC",910-777-2902,ryan@casoncrummie.com,casoncrummie.com,"321 N. Front St., Wilmington, NC 28401"
"Four Pillars Law Firm, PLLC",Estate / Probate,Kelly Shovelin,"Estate planning, elder law, probate, Medicaid","Wilmington, NC",910-762-1577,,fourpillarslawfirm.com,"2202 Wrightsville Ave, Ste 213, Wilmington, NC 28403"
Ken Nance Law PLLC,Estate / Probate,Ken Nance,"Wills, estate planning, probate, asset protection","Wilmington, NC",910-473-5377,closing@kennancelaw.com,kennancelaw.com,"4032 Masonboro Loop Rd, Ste 103, Wilmington, NC 28409"
"Lee Kaess, PLLC",Estate / Probate,Jill Kaess,"Estate planning, trusts and estates, tax","Wilmington, NC",910-399-3447,jill@kpllawfirm.com,kaessparkerlee.com,"3414 Wrightsville Avenue, Wilmington, NC 28403"
Donaldson Law Firm PLLC,Estate / Probate,Scott Donaldson,"Estate planning, probate, wills and trusts","Wilmington, NC",910-701-0005,,donaldsonlawilm.com,"6329 Oleander Drive, Wilmington, NC 28403"
"James H. Cooke, Jr., P.A.",Divorce / Family,James H. Cooke Jr.,"Divorce, custody, military family law","Fayetteville, NC",910-728-4606,,jamescookefamilylaw.com,"717 Hay St, Floor 2, Fayetteville, NC 28301"
"Hardin Law Firm, PLLC",Divorce / Family,Victoria Gillispie Hardin,"Divorce, custody, support, military divorce","Fayetteville, NC",910-565-6505,,hardinlawfirm.com,"1017 Arsenal Avenue, Fayetteville, NC 28305"
"Margit M. Hicks, P.A.",Divorce / Family,Margit M. Hicks,"Divorce, custody, alimony, property division","Fayetteville, NC",910-829-1400,attorney@hicksattorney.com,fayettevilledivorceatty.com,"1013 Arsenal Ave, Fayetteville, NC 28305"
The Richardson Firm,Divorce / Family,William O. Richardson,"Divorce, custody, support, equitable distribution","Fayetteville, NC",910-488-5050,,therichardsonfirm.com,"455 Ramsey St, Fayetteville, NC 28301"
Ferguson Law Firm,Divorce / Family,Patricia Ferguson,"Divorce, custody, support, military divorce","Fayetteville, NC",910-860-2889,,fergusonfamilylawnc.com,"310 Dick St, Suite C, Fayetteville, NC 28301"
"Jennifer R. Pope, Attorney at Law",Divorce / Family,Jennifer R. Pope,"Divorce, custody, support, equitable distribution","Jacksonville, NC",910-938-1600,jpope@jenniferpopelaw.com,jenniferpopelaw.com,"825 Gum Branch Rd, Suite 125, Jacksonville, NC 28540"
"Bowen & Brooks, PLLC",Divorce / Family,Woodberry Bowen,"Divorce, custody, alimony, equitable distribution","Lumberton, NC",910-739-4357,,bowenberrylaw.com,"433 N Elm St, Lumberton, NC 28358"
"Rice Law, PLLC",Divorce / Family,Christine M. Sprow,"Divorce, custody, equitable distribution, alimony","Wilmington, NC",910-762-3854,info@ricefamilylaw.com,ricefamilylaw.com,"105 N 6th Street, Wilmington, NC 28401"
"The Lea/Schultz Law Firm, P.C.",Divorce / Family,James W. Lea III,"Divorce, custody, alimony, equitable distribution","Wilmington, NC",910-239-5990,reception@theleaschultzlawfirm.com,theleaschultzlawfirm.com,"1612 Military Cutoff Rd, Suite 300, Wilmington, NC 28403"
"Allan Brandon Tise, PLLC",Divorce / Family,Allan Brandon Tise,"Divorce, custody, alimony, property division","Wilmington, NC",910-251-9614,brandon@tisefamilylaw.com,tiselaw.com,"130 N Front St, Suite 201, Wilmington, NC 28401"
Russell Family Law & Litigation,Divorce / Family,Erin E. Russell,"Divorce, custody, support, marital agreements","Wilmington, NC",910-338-0799,info@erinerussell.com,erinerussell.com,"1015 Ashes Drive, Suite 104, Wilmington, NC 28405"
Cape Fear Family Law,Divorce / Family,Janet L. Gemmell,"Divorce, custody, support, domestic violence","Wilmington, NC",910-210-0349,info@capefearfamilylaw.com,capefearfamilylaw.com,"5101 Dunlea Court, Suite 202, Wilmington, NC 28405"
