Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
"Bloomquist Law, PLLC",Estate / Probate,Amy Peterson Bloomquist,"Estate planning, probate, wills and trusts","Austin, TX",512-994-2231,,abloomquist.com,"614 S. Capital of Texas Hwy, Austin, TX 78746"
"Osborne, Helman, Scott, Knisely & Stanton, LLP",Estate / Probate,Mark E. Osborne,"Estate planning, trust administration, fiduciary litigation","Austin, TX",512-542-2000,,ohsks.com,"3800 N. Lamar Blvd, Suite 350, Austin, TX 78756"
Barnes Lipscomb & Stewart PLLC,Estate / Probate,Patricia T. Barnes,"Probate, estate administration, planning, guardianship","Austin, TX",512-328-8355,firm@bls-legal.com,bls-legal.com,"2500 Bee Cave Road, Building Two, Suite 150, Austin, TX 78746"
Sharpe Law Group,Estate / Probate,Chuck Sharpe,"Estate planning, wills, trusts, probate","Dallas, TX",214-742-6065,,sharpelaw.com,"6688 N. Central Expy, Suite 450, Dallas, TX 75206"
The Hartnett Law Firm,Estate / Probate,Will F. Hartnett,"Probate, trust and estate litigation, guardianships","Dallas, TX",214-742-4655,,hartnettlawfirm.com,"2920 N. Pearl Street, Dallas, TX 75201"
Tarleton Law Firm,Estate / Probate,Allan Tarleton,"Estate planning, probate, wills and trusts","Dallas, TX",214-935-9004,info@tarletonfirm.com,tarletonfirm.com,"8150 N. Central Expy, Suite 1150, Dallas, TX 75206"
"Elliott Estate Law, PLLC",Estate / Probate,John T. Elliott,"Probate, estate administration, wills, trusts","Houston, TX",281-990-1990,,elliottestatelaw.com,"952 Echo Lane, Suite 330, Houston, TX 77024"
"McCulloch & Miller, PLLC",Estate / Probate,Thomas W. McCulloch,"Estate planning, probate, elder law","Houston, TX",713-333-8900,webinfo@mcmfirm.com,mcmfirm.com,"440 Louisiana St, Suite 1635, Houston, TX 77002"
Your Legacy Legal Care,Estate / Probate,Kim Hegwood,"Estate planning, probate, elder law, guardianship","Houston, TX",281-218-0880,,yourlegacylegalcare.com,"1150 Clear Lake City Blvd, Suite 100, Houston, TX 77062"
"Law Offices of Thomas G. Bassler, P.C.",Estate / Probate,Thomas G. Bassler,"Estate planning, probate, real estate, business","San Antonio, TX",210-826-8885,,basslerlaw.com,"306 W. Sunset Rd, Suite 119, San Antonio, TX 78209"
"Maverick Law, P.C.",Estate / Probate,Brian Maverick,"Estate planning, probate, guardianship, elder law","San Antonio, TX",210-828-5151,brian@mavericklaw.com,mavericklaw.com,"6515 Broadway, San Antonio, TX 78209"
Weisinger Law Firm,Estate / Probate,Charlie Weisinger,"Estate planning, wills, trusts, probate","San Antonio, TX",210-985-9224,,weisingerlawfirm.com,"17300 Henderson Pass, Suite 240, San Antonio, TX 78232"
Kirker Davis LLP,Divorce / Family,Chris M. Kirker,"High-asset divorce, complex custody disputes","Austin, TX",512-598-0010,,kirkerdavis.com,"8310-1 N Capital of Texas Hwy, Suite 350, Austin, TX 78731"
Friday Milner Lambert Turner,Divorce / Family,Jonathan P. Friday,"Divorce, custody, family law litigation","Austin, TX",512-420-0555,,fmltlaw.com,"3401 Glenview Avenue, Austin, TX 78703"
Law Office of Melissa M. Williams,Divorce / Family,Melissa M. Williams,"Divorce, custody, child support, family law","Austin, TX",512-271-2063,,melissamwilliams.com,"1114 Lost Creek Boulevard, Suite 310, Austin, TX 78746"
McClure Law Group,Divorce / Family,Kelly McClure,"Divorce, high-net-worth, custody, modifications","Dallas, TX",214-692-8200,,mcclure-lawgroup.com,"8115 Preston Rd, Suite 270, Dallas, TX 75225"
Hargrave Family Law,Divorce / Family,Jennifer Hargrave,"Collaborative divorce, custody, prenuptial agreements","Dallas, TX",214-416-9433,,hargravefamilylaw.com,"4201 Spring Valley Rd, Suite 1210, Dallas, TX 75244"
"Orsinger, Nelson, Downing & Anderson",Divorce / Family,Richard R. Orsinger,"Divorce, custody, complex property, appeals","Dallas, TX",214-273-2400,,ondafamilylaw.com,"5950 Sherry Lane, Suite 800, Dallas, TX 75225"
Diggs & Sadler,Divorce / Family,Judith Sadler,"Divorce, custody, complex property division","Houston, TX",713-766-5355,,texasadvocates.com,"5300 Memorial Drive, Suite 900, Houston, TX 77007"
Skillern Firm,Divorce / Family,Matthew Skillern,"Divorce, child custody, family law litigation","Houston, TX",713-229-8855,,skillernfirm.com,"701 N Post Oak Rd, Suite 600, Houston, TX 77024"
Busby & Associates,Divorce / Family,Michael G. Busby Jr.,"Divorce, custody, family law","Houston, TX",281-348-6723,Appointments@busby-lee.com,busby-lee.com,"715 E Whitney St, Houston, TX 77022"
"Higdon, Hardy & Zuflacht",Divorce / Family,Joseph Hardy,"Divorce, custody, board-certified family law","San Antonio, TX",210-349-9933,,hhzfamilylaw.com,"12000 Huebner Rd, Suite 200, San Antonio, TX 78230"
Law Office of Rebecca J. Carrillo,Divorce / Family,Rebecca J. Carrillo,"Divorce, custody, complex family law","San Antonio, TX",210-405-6623,,rjc-lawfirm.com,"12915 Jones Maltsberger Road, Suite 524, San Antonio, TX 78247"
Espronceda Law,Divorce / Family,Jennifer Espronceda,"Divorce, military divorce, custody, support","San Antonio, TX",210-504-1514,,alamodivorcelawyer.com,"1202 S Alamo St, San Antonio, TX 78210"
