Firm,Type,Lead Attorney,Practice Focus,City,Phone,Email,Website,Address
Pleasants Law Firm,Estate / Probate,Nick Pleasants,"Estate planning, probate, elder law, guardianship","Bellevue, WA",425-455-3900,npleasants@ohswlaw.com,pleasantslaw.com,"11225 SE 6th St, Suite 100, Bellevue, WA 98004"
"Ellis Law, LLC",Estate / Probate,Lisa Nicole Ellis,"Estate planning, elder law, probate, special needs trusts","Bellevue, WA",425-296-6271,Lisa@lisaellislaw.com,lisaellislaw.com,"40 Lake Bellevue Dr, Suite 100, Bellevue, WA 98005"
Newton Kight LLP,Estate / Probate,M. Geoffrey G. Jones,"Estate planning, probate, wills, trusts, guardianships","Everett, WA",425-259-5106,,newtonkight.com,"1820 32nd St, Everett, WA 98201"
"Anderson Hunter Law Firm, P.S.",Estate / Probate,Amy Allison,"Estate planning, probate, trust administration","Everett, WA",425-252-5161,,andersonhunterlaw.com,"2707 Colby Ave, Suite 1001, Everett, WA 98201"
"Iddins Law Group, PLLC",Estate / Probate,Robert Iddins,"Estate planning, probate, elder law","Kent, WA",253-854-1244,,iddinslaw.com,"25052 104th Ave SE, Suite B, Kent, WA 98030"
Gellner Law Group,Estate / Probate,Jennifer A. Gellner,"Estate planning, probate, trusts, guardianships","Kent, WA",425-235-5535,,jcrlaw.com,"8407 S 259th St, Suite 203, Kent, WA 98030"
"Eggerman Law Firm, PS",Estate / Probate,Stephen A. Eggerman,"Estate planning, probate, guardianship","Kirkland, WA",425-828-9509,paralegal@eggermanlaw.com,eggermanlaw.com,"520 Kirkland Way, Suite 400, Kirkland, WA 98033"
"Davidson, Kilpatric & Krislock, PLLC",Estate / Probate,Ken Davidson,"Wills, probate, estate planning","Kirkland, WA",425-822-2228,,kirklandlaw.com,"520 Kirkland Way, Suite 100, Kirkland, WA 98033"
"Stacey Romberg, Attorney at Law",Estate / Probate,Stacey Romberg,"Estate planning, probate, trust administration","Seattle, WA",206-784-5305,inquiry@staceyromberg.com,staceyromberg.com,"10115 Greenwood Ave N, PMB #275, Seattle, WA 98133"
Law Offices of Ann T. Wilson,Estate / Probate,Ann T. Wilson,"Estate planning, probate, trust and estate litigation","Seattle, WA",206-625-0990,,atwlegal.com,"1420 5th Ave, Suite 3000, Seattle, WA 98101"
"Helland Law Group, PLLC",Estate / Probate,Robert Helland,"Estate planning, wills, trusts, probate","Tacoma, WA",253-572-2684,,hellandlawgroup.com,"960 Market St, Tacoma, WA 98402"
"Kampbell Legal Planning, PLLC",Estate / Probate,Brianne Kampbell,"Estate planning, probate, trust administration","Tacoma, WA",253-564-2088,hello@kampbell-law.com,kampbell-law.com,"2501 N Alder St, Tacoma, WA 98406"
Law Offices of Molly B. Kenny,Divorce / Family,Molly B. Kenny,"Divorce, high-asset division, custody, support","Bellevue, WA",425-460-0550,,mollybkenny.com,"13555 SE 36th St, Suite 100, Bellevue, WA 98006"
Weintraub Law Office,Divorce / Family,Boaz Weintraub,"Divorce, custody, support, property division","Bellevue, WA",425-374-4045,,weintraub-law.com,"14205 SE 36th St, Suite 100, Bellevue, WA 98006"
Tuohy Minor Kruse PLLC,Divorce / Family,Deane W. Minor,"Divorce, custody, parenting plans, support","Everett, WA",425-259-9194,info@tuohyminor.com,tuohyminorkruse.com,"2821 Wetmore Ave, Everett, WA 98201"
Port Gardner Law Group,Divorce / Family,Julie A. Caputo,"Divorce, legal separation, custody, support","Everett, WA",425-259-5100,,portgardnerlaw.com,"6003 23rd Drive W, Suite 250, Everett, WA 98203"
"Gaber Law Firm, PLLC",Divorce / Family,Jason David Gaber,"Divorce, custody, support, mediation","Kent, WA",253-266-3538,gaberlawwa@gmail.com,gaberlawwa.com,"13036 SE Kent-Kangley Rd, PMB 441, Kent, WA 98030"
"Gouras Law Firm, PLLC",Divorce / Family,Mark S. Gouras,"Divorce, child custody, family law","Kent, WA",253-395-5552,,seattle-divorce.com,"6703 S 234th St, Suite 300, Kent, WA 98032"
Northwest Family Law,Divorce / Family,Monica Chin,"Divorce, custody, support, property division","Kirkland, WA",206-737-1806,,nwfamilylaw.com,"11255 Kirkland Way, Suite 100, Kirkland, WA 98033"
McKinley Irvin,Divorce / Family,David McKinley,"Divorce, high-net-worth division, custody, support","Kirkland, WA",425-588-3700,,mckinleyirvin.com,"10220 NE Points Drive, Suite 330, Kirkland, WA 98033"
"V. Freitas Law, PLLC",Divorce / Family,Veronica Freitas,"Divorce, custody, property division, support","Seattle, WA",206-536-2875,,vfreitaslaw.com,"544 29th Avenue, Seattle, WA 98122"
Goldberg Jones,Divorce / Family,Rick Jones,"Divorce, custody, support, spousal maintenance","Seattle, WA",206-448-1010,,goldbergjones-wa.com,"1200 Westlake Ave N, Suite 700, Seattle, WA 98109"
Law Office of Sophia M. Palmer,Divorce / Family,Sophia M. Palmer,"Divorce, child custody, family law","Tacoma, WA",253-356-6460,,sophiampalmerlaw.com,"615 Commerce St, Suite 101, Tacoma, WA 98402"
Bliss Law Group,Divorce / Family,Heather Z. Bliss,"Divorce, custody, mediation, probate","Tacoma, WA",253-844-4412,,blisslawgroup.com,"2112 N 30th St, Suite A, Tacoma, WA 98403"
