attorney_or_firm,practice,city,phone,email,website,address
"Heather L. George Myers","Divorce / Family Law + Estate Planning","Greenwood, IN","317-287-4965","","hgmyerslaw.com",""
"Martin N. Howe — Howe Law","Family Law + Probate","Greenwood, IN","317-644-2557","","howefamilylaw.com","386 Meridian Parke Lane, Suite A, Greenwood, IN 46142"
"Joe Walterman — Walterman Legal","Divorce / Family Law","Greenwood, IN","317-953-2281","","waltermanlegal.com",""
"Hocker & Associates LLC","Family Law + Real Estate + Probate","Greenwood, IN","317-215-5045","","hockerlawfirm.com","3209 Smith Valley Rd #233, Greenwood, IN 46142"
"Stephanie Renner — The Renner Law Office","Divorce / Family Law","Greenwood & Indianapolis, IN","317-771-8535","Stephanie@TheRennerLawOffice.com","therennerlawoffice.com",""
"Vick Law, P.C. (Thomas A. Vick)","Estate Planning + Elder Law + Probate","Greenwood, IN","317-884-3133","","vicklaw.org","3209 W Smith Valley Rd, Ste 113, Greenwood, IN 46142"
"Henn Haworth Cummings + Page","Estate Planning + Probate","Greenwood, IN","","","hhcplaw.com",""
"Van Valer Law Firm, LLP","Estate Planning + Real Estate + Family Law","Greenwood, IN","","","vanvalerlaw.com",""
"Law Office of Emily Greeson","Elder Law + Wills & Trusts","Greenwood & Brownsburg, IN","","","emilygreesonelderlaw.com",""
"Frank & Kraft, Attorneys at Law","Estate Planning + Probate + Elder Law","Indianapolis, IN (serves Greenwood)","317-684-1100","","frankkraft.com","135 N Pennsylvania St #1100, Indianapolis, IN 46204"
"Law Office of Melissa Winkler-York","Divorce / Family Law","Indianapolis, IN","317-781-1080","info@winkleryorklaw.com","winkleryorklaw.com","4259 Shelby St, Indianapolis, IN 46227"
"López Law Office, P.C. (Vanessa López)","Divorce / Family Law","Indianapolis, IN","317-634-9484","","vanessalopezlaw.com","3502 N. Meridian St, Indianapolis, IN 46208"
"Stange Law Firm, PC","Divorce / Family Law","Indianapolis, IN","463-258-5401","","stangelawfirm.com","3905 Vincennes Rd, Ste 103, Indianapolis, IN 46268"
"Eskew Law","Divorce / Family Law","Indianapolis, IN","317-974-0177","","eskewlaw.com",""
"Keffer Hirschauer LLP","Divorce / Family Law","Indianapolis, IN","317-648-9560","","indyjustice.com",""
"Villarrubia & Rosenberger, P.C.","Divorce / Family Law","Indianapolis, IN","463-207-9900","","vrlegal.com",""
"Doyle Family Law LLC","Divorce / Family Law","Indianapolis, IN","317-505-0971","","doylefamilylawyers.com",""
"Cordell & Cordell","Divorce / Family Law","Indianapolis, IN","","","cordellcordell.com",""
"Marc Matheny Law","Estate Planning + Probate + Family Law","Indianapolis, IN","317-639-3315","","marcmathenylaw.com",""
"Harshman Ponist Smith & Rayl, LLC","Wills & Trusts + Guardianship + Probate","Indianapolis, IN","317-964-6000","","hpindiana.law",""
"Robert W. York & Associates","Probate + Estate Planning","Indianapolis, IN","317-953-2144","","york-law.com",""
"Barnes Cadwell Law, P.A.","Probate + Estate Planning","Indianapolis, IN","317-804-5058","","barnescadwell.com","10475 Crosspoint Blvd, Ste 250, Indianapolis, IN 46256"
"Allen Wellman Harvey Keyes Cooley, LLP","Probate + Trust Administration","Greenfield & Indianapolis, IN","317-468-2355","","awmlaw.com",""
"Indy Advocate","Probate","Indianapolis, IN","317-939-3000","","indyadvocate.com",""
"Holwager & Holwager","Elder Law + Estate + Trust","Beech Grove, IN","317-787-8395","","hhelderlaw.com","1818 Main St, Beech Grove, IN 46107"
"Adler Law LLC","Estate Planning + Probate","Indianapolis, IN","","","adlerlawonline.com",""
"Emerson Divorce & Accident Injury Attorneys, LLC","Divorce / Family Law","Carmel & Fishers, IN","317-969-8000","","emersonlawllc.com","1 S Rangeline Rd, Ste 400, Carmel, IN 46032"
"Coots, Henke & Wheeler","Divorce / Family Law","Carmel, IN","317-708-4819","","chwlaw.com",""
"Cross Glazier Reed Burroughs, PC","Divorce / Family Law","Indianapolis & Carmel, IN","317-669-9134","","cgblawfirm.com",""
"Connell Michael, LLP","Family Law + Estate","Carmel, IN","317-434-1061","","connellmichaellaw.com",""
